ID,VOICE,TEXT COLOR,PORTRAIT,ROUTE TO AFTER,CHOICE_1,CHOICE_1_NEXT,CHOICE_2,CHOICE_2_NEXT,ENGLISH,SPANISH,JAPANESE,GERMAN,CHINESE,CHINESE SIMPLIFIED,KOREAN,ITALIAN,PORTUGUESE
ad1,snd_talk_highmid,c785e7,spr_portrait_bibi,-1,-1,-1,-1,-1,Wishlist on Steam today!!,Agrega a tu Lista de Deseados hoy!,今すぐSteamでウィッシュリストに追加！,Noch heute auf die Steam-Wunschliste!,現在加入願望清單!!,现在加入愿望清单!!,스팀에서 이 게임을 찜 목록에 추가해주세요!,Aggiungi alla Wishlist su Steam oggi!!,Coloque na sua lista de desejos da Steam hoje!!
backstory_baba,-1,-1,-1,-1,-1,-1,-1,-1,The lost & betrayed.,El perdido & traicionado.,失われし、裏切られし者,Der verlorene und verratene.,迷失與受背叛之人,迷失与受背叛之人,배신 당한 자.,Il perdutoe tradito.,O perdido & traido.
backstory_bebe,-1,-1,-1,-1,-1,-1,-1,-1,The playful dancer!,El bailarín juguetón!,陽気なダンサー！,Die verspielte Tänzerin!,活潑調皮的舞者,活泼调皮的舞者,활기찬 댄서!,Il ballerina gioiosa!,O dançarino brincalhão!
backstory_bibi,-1,-1,-1,-1,-1,-1,-1,-1,The optimistic and fluffy adventurer!,El aventurero optimista y suave!,楽天家のふわふわ冒険者！,Die optimistische und flauschige Abenteurerin!,正向積極又毛茸茸的冒險者,正向积极又毛茸茸的冒险者,복슬복슬한 모험가!,L'avventuriero morbido e ottimista!,O aventureiro fofo e optimista!
backstory_bobo,-1,-1,-1,-1,-1,-1,-1,-1,The infamous grumpy necromancer!,El nigromante infame y gruñón!,悪名高き気難しネクロマンサー！,Der berüchtigte mürrische Geisterbeschwörer!,惡名昭彰的怪脾氣死靈法師,恶名昭彰的怪脾气死灵法师,악명높은 네크로맨서!,Il famigerato e brontolone negromante!,O infame necromante mal-humurado!
backstory_bubu,-1,-1,-1,-1,-1,-1,-1,-1,The chipper treasure hunter!,El cazador de tesoros más animado!,ノリノリのトレジャーハンター！,Der lebhafte Schatzjäger!,興高采烈的寶物獵人,兴高采烈的宝物猎人,발랄한 보물 사냥꾼!,L'allegro cacciatore di tesori!,O caçador de tesouros alegre!
backstory_byby,-1,-1,-1,-1,-1,-1,-1,-1,The grumpy farmer!,El granjero gruñón!,気難し屋の農家！,Die mürrische Bauerin!,躁鬱悶騷的農夫,躁郁闷骚的农夫,심술궂은 농부!,La contadina brontolona!,O fazendeiro mal-humurado!
boss_red_skeleton_bibi_a1,snd_talk_high,eb1c3c,spr_portrait_red_skeleton,-1,-1,-1,-1,-1,You'll never get past us!,Nunca pasarás por nosotros!,ここは通さねぇぞ！,Du kommst niemals an uns vorbei!,你永遠過不了我們這關的!,你永远过不了我们这关的!,넌 못 지나간다!,Non ti faremo mai passare!,Você nunca vai conseguir passar por nos!
boss_red_skeleton_bibi_a2,snd_talk_highmid,c785e7,spr_portrait_bibi,-1,-1,-1,-1,-1,I need to stop Bobo!,Necesito detener a Bobo!,ボボを止めなきゃ！,Ich muss Bobo aufhalten!,我必須阻止波波!,我必须阻止波波!,안돼요! 보보를 막아야 해요!,Devo fermare Bobo!,Eu preciso parar o Bobo!
boss_red_skeleton_bibi_a3,snd_talk_high,eb1c3c,spr_portrait_red_skeleton,-1,-1,-1,-1,-1,We'll see about that!,Veremos!,`sそうはいくか！,Das werden wir ja sehen!,我們走著瞧吧!,我们走着瞧吧!,우리를 지나갈 수 있다면 말이지!,Puoi provarci!,Veremos!
